VALUE
Sweden (SE)| Heavy fuel oil (HF)| Internal combustion engine with heat recovery (HP)| Primary energy commodity (P)| Historic (H)| size 2
Sweden (SE)| Heavy fuel oil (HF)| Steam cycle (ST)| Primary energy commodity (P)| Historic (H)| size 2
Sweden (SE)| Heavy fuel oil (HF)| Steam cycle (ST)| Primary energy commodity (P)| Historic (H)| size 3
Sweden (SE)| Hydro (HY)| Dam (DM)| Primary energy commodity (P)| Historic (H)| size 0
Sweden (SE)| Hydro (HY)| Dam (DM)| Primary energy commodity (P)| Historic (H)| size 1
Sweden (SE)| Hydro (HY)| Dam (DM)| Primary energy commodity (P)| Historic (H)| size 2
Sweden (SE)| Hydro (HY)| Dam (DM)| Primary energy commodity (P)| Historic (H)| size 3
Sweden (SE)| Hydro (HY)| Pumped Storage (DS)| Primary energy commodity (P)| Historic (H)| size 2
Sweden (SE)| Hydro (HY)| Pumped Storage (DS)| Primary energy commodity (P)| Historic (H)| size 3
Sweden (SE)| Natural gas (NG)| unspecified (00)| Import technology (I)| Unknown age (0)| size 0
Sweden (SE)| Natural gas (NG)| Combined cycle (CC)| Primary energy commodity (P)| Historic (H)| size 2
Sweden (SE)| Natural gas (NG)| Combined heat and power (CH)| Primary energy commodity (P)| Historic (H)| size 3
Sweden (SE)| Natural gas (NG)| Combined heat and power (CH)| Primary energy commodity (P)| New (N)| size 3
Sweden (SE)| Natural gas (NG)| Carbon Capture and Storage (CS)| Primary energy commodity (P)| New (N)| size 2
Sweden (SE)| Natural gas (NG)| Fuel cell (FC)| Final electricity (F)| Historic (H)| size 1
Sweden (SE)| Natural gas (NG)| Gas cycle (GC)| Primary energy commodity (P)| Historic (H)| size 2
Sweden (SE)| Natural gas (NG)| Gas cycle (GC)| Primary energy commodity (P)| New (N)| size 2
Sweden (SE)| Natural gas (NG)| Internal combustion engine with heat recovery (HP)| Final electricity (F)| Historic (H)| size 1
Sweden (SE)| Natural gas (NG)| Internal combustion engine with heat recovery (HP)| Primary energy commodity (P)| Historic (H)| size 2
Sweden (SE)| Natural gas (NG)| Steam cycle (ST)| Primary energy commodity (P)| Historic (H)| size 2
Sweden (SE)| Nuclear (NU)| Generation 2 (G2)| Primary energy commodity (P)| Historic (H)| size 3
Sweden (SE)| Nuclear (NU)| Generation 3 (G3)| Primary energy commodity (P)| New (N)| size 3
Sweden (SE)| Ocean (OC)| Wave power (WV)| Primary energy commodity (P)| Historic (H)| size 1
Sweden (SE)| Sun (SO)| Distributed PV (DI)| Final electricity (F)| Historic (H)| size 1
Sweden (SE)| Sun (SO)| Utility PV (UT)| Primary energy commodity (P)| Historic (H)| size 2
Sweden (SE)| Uranium (UR)| unspecified (00)| Import technology (I)| Unknown age (0)| size 0
Sweden (SE)| Wind (WI)| Offshore (OF)| Primary energy commodity (P)| Historic (H)| size 3
Sweden (SE)| Wind (WI)| Offshore (OF)| Primary energy commodity (P)| New (N)| size 2
Sweden (SE)| Wind (WI)| Offshore (OF)| Primary energy commodity (P)| New (N)| size 3
Sweden (SE)| Wind (WI)| Onshore (ON)| Primary energy commodity (P)| Historic (H)| size 3
Sweden (SE)| Wind (WI)| Onshore (ON)| Primary energy commodity (P)| New (N)| size 3
Sweden (SE)| Waste (WS)| unspecified (00)| Extraction or generation technology (X)| Unknown age (0)| size 0
Sweden (SE)| Waste (WS)| Combined heat and power (CH)| Primary energy commodity (P)| Historic (H)| size 2
Sweden (SE)| Waste (WS)| Steam cycle (ST)| Primary energy commodity (P)| Historic (H)| size 1
