REGION,TECHNOLOGY,YEAR,VALUE
REGION1,DKBMCCPH1,2057,0.13424653551545804
REGION1,DKBMCSPN2,2039,0.006010678081540197
REGION1,DKBMCSPN2,2040,0.019185378413799328
REGION1,DKBMCSPN2,2041,0.0057599841153621045
REGION1,DKBMCSPN2,2043,0.008779703172872157
REGION1,DKBMCSPN2,2044,0.07971337045403498
REGION1,DKBMCSPN2,2050,0.002938526815836546
REGION1,DKBMCSPN2,2051,0.028680783850229843
REGION1,DKBMCSPN2,2052,0.01526514319980364
REGION1,DKBMCSPN2,2053,0.015373081555827894
REGION1,DKBMCSPN2,2054,0.005725641490659583
REGION1,DKBMSTPH3,2025,0.09799793451570932
REGION1,DKBMSTPH3,2026,0.030970142909669374
REGION1,DKBMSTPH3,2027,0.3448230643633444
REGION1,DKBMSTPH3,2028,0.10177592328894378
REGION1,DKBMSTPH3,2029,0.04160272324969925
REGION1,DKBMSTPH3,2030,0.16778426876670585
REGION1,DKBMSTPH3,2032,0.06452072122590975
REGION1,DKBMSTPH3,2033,0.045137245656967466
REGION1,DKBMSTPH3,2034,0.0389349588107521
REGION1,DKBMSTPH3,2035,0.03133690554785515
REGION1,DKBMSTPH3,2036,0.015296812984029871
REGION1,DKBMSTPH3,2037,0.015298398474596063
REGION1,DKBMSTPH3,2038,0.015298398474595852
REGION1,DKBMSTPH3,2042,0.05942011923503919
REGION1,DKBMSTPH3,2043,0.19991864741979265
REGION1,DKBMSTPH3,2044,0.08380731722545008
REGION1,DKBMSTPH3,2046,0.01841285701057811
REGION1,DKBMSTPH3,2047,0.018412349351334536
REGION1,DKBMSTPH3,2048,0.01841444250114395
REGION1,DKBMSTPH3,2049,0.018412349351334092
REGION1,DKGOCVPH2,2022,0.03235840530895435
REGION1,DKGOCVPH2,2023,0.002232963509852292
REGION1,DKGOCVPH2,2024,0.002240409708617603
REGION1,DKGOCVPH2,2025,0.0022478911817749715
REGION1,DKGOCVPH2,2026,0.02262466827165329
REGION1,DKGOCVPH2,2027,0.02270143563665552
REGION1,DKGOCVPH2,2028,0.02277829234187457
REGION1,DKGOCVPH2,2029,0.02285548199672732
REGION1,DKGOCVPH2,2030,0.02293326743771436
REGION1,DKGOCVPH2,2031,0.01778540625409065
REGION1,DKGOCVPH2,2032,0.017858214765816317
REGION1,DKGOCVPH2,2033,0.017931412073149886
REGION1,DKGOCVPH2,2034,0.009347897030680513
REGION1,DKHFCHPH3,2022,0.5140888284004361
REGION1,DKHFCHPH3,2023,2.9476397288513887
REGION1,DKHFCHPH3,2024,2.0169345086929216
REGION1,DKHFCHPH3,2025,0.011690034243045582
REGION1,DKHFCHPH3,2026,0.05229556948194936
REGION1,DKHFCHPH3,2036,0.020685006869520357
REGION1,DKHFCHPH3,2037,0.029871730890286493
REGION1,DKHFCHPH3,2038,0.045433710782216245
REGION1,DKHFCHPH3,2040,0.006150487922554584
REGION1,DKHFCHPH3,2042,0.0052435159050883695
REGION1,DKHFCHPH3,2044,0.08256920118635411
REGION1,DKHFCHPH3,2046,0.027565985291680303
REGION1,DKHFCHPH3,2047,0.5925639790491022
REGION1,DKHFCHPH3,2048,3.026112786350243
REGION1,DKHFCHPH3,2049,2.0954096593415885
REGION1,DKHFCHPH3,2050,0.10563900742720912
REGION1,DKHFCHPH3,2051,0.11769628563171965
REGION1,DKHFCHPH3,2052,0.1269770117501796
REGION1,DKHFCHPH3,2053,0.08746392563778292
REGION1,DKHFCHPH3,2054,0.09797807494821596
REGION1,DKHFCHPH3,2055,0.22746718510839248
REGION1,DKHFCHPH3,2056,0.13355126224639768
REGION1,DKHFCHPH3,2057,0.3189351303868256
REGION1,DKHFCHPH3,2058,0.23142836914288625
REGION1,DKHFCHPH3,2059,0.13497359777439313
REGION1,DKHFCHPH3,2060,0.22623222120609832
REGION1,DKHYDMPH3,2018,0.001875553438118412
REGION1,DKHYDMPH3,2059,3.299999999999909e-05
REGION1,DKSOUTPH2,2024,0.9689581796523453
REGION1,DKSOUTPH2,2025,0.6324920361128932
REGION1,DKSOUTPH2,2026,0.19471687308981256
REGION1,DKSOUTPH2,2027,0.19189488942184385
REGION1,DKSOUTPH2,2028,0.19189488942184385
REGION1,DKSOUTPH2,2029,0.19189488942184385
REGION1,DKSOUTPH2,2030,0.19189488942184385
REGION1,DKSOUTPH2,2031,0.12416728139060476
REGION1,DKSOUTPH2,2032,0.12264929772263834
REGION1,DKSOUTPH2,2033,0.12134529772263652
REGION1,DKSOUTPH2,2034,0.12334529772263768
REGION1,DKSOUTPH2,2035,0.1261672813906034
REGION1,DKSOUTPH2,2036,0.11159141204686064
REGION1,DKSOUTPH2,2037,0.483591412046856
REGION1,DKSOUTPH2,2038,0.27641339571482726
REGION1,DKSOUTPH2,2039,0.13759141204685854
REGION1,DKSOUTPH2,2040,0.276591412046859
REGION1,DKSOUTPH2,2041,0.08183752637108026
REGION1,DKSOUTPH2,2042,0.08183752637108026
REGION1,DKSOUTPH2,2043,0.08183752637108026
REGION1,DKSOUTPH2,2044,0.08183752637108026
REGION1,DKSOUTPH2,2045,0.08183752637108127
REGION1,DKSOUTPH2,2046,0.031041820347651065
REGION1,DKSOUTPH2,2047,0.02821983667968233
REGION1,DKSOUTPH2,2048,0.031041820347652068
REGION1,DKSOUTPH2,2049,1.0
REGION1,DKSOUTPH2,2050,0.6607118727925719
REGION1,DKSOUTPH2,2051,0.2201147261015272
REGION1,DKSOUTPH2,2052,0.21729274243355845
REGION1,DKSOUTPH2,2053,0.21729274243355845
REGION1,DKSOUTPH2,2054,0.21729274243355945
REGION1,DKSOUTPH2,2055,0.21729274243355845
REGION1,DKSOUTPH2,2056,0.14956513440231936
REGION1,DKSOUTPH2,2057,0.15086913440232066
REGION1,DKSOUTPH2,2058,0.14674315073435112
REGION1,DKSOUTPH2,2059,0.14874315073435226
REGION1,DKSOUTPH2,2060,0.151565134402318
REGION1,DKWIONPH3,2030,0.41946267110748814
REGION1,DKWIONPH3,2032,0.4367212801654716
REGION1,DKWIONPH3,2033,2.619286845397655
REGION1,DKWIONPH3,2034,1.067552883171334
REGION1,DKWIONPH3,2035,1.3884718890429106
REGION1,DKWIONPH3,2036,1.0843536029289609
REGION1,DKWIONPH3,2037,1.0199874127023545
REGION1,DKWIONPH3,2038,1.461875088622154
REGION1,DKWIONPH3,2039,1.6717764383692193
REGION1,DKWIONPH3,2040,1.3572726732729
REGION1,DKWIONPH3,2041,1.950430317692749
REGION1,DKWIONPH3,2042,0.9411972971974824
REGION1,DKWIONPH3,2043,2.715662988146716
REGION1,DKWIONPH3,2044,0.27943222268323403
REGION1,DKWIONPH3,2045,1.1235731539548062
REGION1,DKWIONPH3,2057,0.266869249386648
REGION1,DKWIONPH3,2058,2.2161336157024363
REGION1,DKWIONPH3,2059,1.5083859531220534
REGION1,DKWIONPH3,2060,2.420576695338424
REGION1,DKWSSTPH1,2022,0.35316748957155025
REGION1,DKWSSTPH1,2023,0.06442380763875889
REGION1,DKWSSTPH1,2024,0.09117858159845917
REGION1,DKWSSTPH1,2025,0.0185246400594698
REGION1,DKWSSTPH1,2026,0.0036926193367288105
REGION1,DKWSSTPH1,2028,0.008616784369181651
REGION1,DKWSSTPH1,2029,0.01720879475357298
REGION1,DKWSSTPH1,2030,0.015732423986115292
REGION1,DKWSSTPH1,2038,0.0022536363120790465
REGION1,DKWSSTPH1,2052,0.30594983462156616
REGION1,DKWSSTPH1,2053,0.05756580044514843
REGION1,DKWSSTPH1,2054,0.08440836515958619
REGION1,DKWSSTPH1,2055,0.0079280230221622
REGION1,DKWSSTPH1,2059,0.003674766731343948
REGION1,DKWSSTPH1,2060,0.0085697312319452
REGION1,FIBMCSPN2,2035,0.09054821714454195
REGION1,FIBMCSPN2,2036,0.0984851593345946
REGION1,FIBMCSPN2,2037,0.14881343906128983
REGION1,FIBMCSPN2,2038,0.2075605379488429
REGION1,FIBMCSPN2,2039,0.18459343548233573
REGION1,FIBMCSPN2,2040,0.09943213695809085
REGION1,FIBMCSPN2,2041,0.1989495266322978
REGION1,FIBMCSPN2,2042,0.05293355266283711
REGION1,FIBMCSPN2,2043,0.14705460895418354
REGION1,FIBMCSPN2,2044,0.14716902851076674
REGION1,FIBMCSPN2,2045,0.24619382904428552
REGION1,FIBMCSPN2,2047,0.21423484322098327
REGION1,FIBMCSPN2,2048,0.2142348432209848
REGION1,FIBMCSPN2,2049,0.21405303662294223
REGION1,FIBMCSPN2,2050,0.20381547566633423
REGION1,FIBMCSPN2,2051,0.018939795376960254
REGION1,FIBMCSPN2,2052,0.03235543602738582
REGION1,FIBMCSPN2,2053,0.002413893365730459
REGION1,FIBMSTPH3,2034,0.1560577264242675
REGION1,FIBMSTPH3,2035,0.20470412585566108
REGION1,FIBMSTPH3,2038,0.23312075437108387
REGION1,FIBMSTPH3,2042,0.04245790667833621
REGION1,FIBMSTPH3,2045,0.683112700081676
REGION1,FIBMSTPH3,2046,0.6753829298070961
REGION1,FIBMSTPH3,2047,0.08265865698792053
REGION1,FIBMSTPH3,2048,0.33665695215615327
REGION1,FIGOCVPH2,2022,0.0001318060546645
REGION1,FIGOCVPH2,2023,6.623597074320113e-05
REGION1,FIGOCVPH2,2024,6.645880491510689e-05
REGION1,FIGOCVPH2,2025,6.66830794225946e-05
REGION1,FIGOCVPH2,2026,0.00019960595807155265
REGION1,FIGOCVPH2,2027,0.00020028183706794037
REGION1,FIGOCVPH2,2028,0.0002009601945637868
REGION1,FIGOCVPH2,2029,0.0002016460067336972
REGION1,FIGOCVPH2,2030,0.00020233228075580183
REGION1,FIGOCVPH2,2031,0.0003374301377535666
REGION1,FIGOCVPH2,2032,0.00033882292174802824
REGION1,FIGOCVPH2,2033,0.0003402154569361334
REGION1,FIGOCVPH2,2034,0.0003416271442158
REGION1,FIGOCVPH2,2035,0.0003430354128860152
REGION1,FIGOCVPH2,2036,0.00014156055595574172
REGION1,FIGOCVPH2,2037,0.00014215694364773731
REGION1,FIGOCVPH2,2038,0.00014274937610722402
REGION1,FIGOCVPH2,2039,0.0001433457849007062
REGION1,FIGOCVPH2,2040,0.00014393682879920017
REGION1,FIGOCVPH2,2041,0.00014421624189092728
REGION1,FIGOCVPH2,2042,0.00014479778463855216
REGION1,FIGOCVPH2,2043,0.00014539104581349566
REGION1,FIGOCVPH2,2044,0.00014597148923381796
REGION1,FIGOCVPH2,2045,0.00014656369193290678
REGION1,FIGOCVPH2,2046,7.813471832474979e-05
REGION1,FIGOCVPH2,2047,7.844473966935823e-05
REGION1,FIGOCVPH2,2048,7.877321395599624e-05
REGION1,FIGOCVPH2,2049,7.908711488916083e-05
REGION1,FIGOCVPH2,2050,7.941956824555058e-05
REGION1,FIGOCVPH2,2051,5.36387901276881e-05
REGION1,FIGOCVPH2,2052,5.4229140670405194e-05
REGION1,FIGOCVPH2,2053,5.482960118542862e-05
REGION1,FIGOCVPH2,2054,5.54402122135441e-05
REGION1,FIGOCVPH2,2055,5.604813696300911e-05
REGION1,FIGOCVPH2,2056,5.664910658876684e-05
REGION1,FIGOCVPH2,2057,5.7281382148825696e-05
REGION1,FIGOCVPH2,2058,5.792393545485232e-05
REGION1,FIGOCVPH2,2059,5.8560034749555286e-05
REGION1,FIGOCVPH2,2060,5.919277343673029e-05
REGION1,FIHFCHPH3,2022,2.07137087759445
REGION1,FIHFCHPH3,2023,1.6189568443495703
REGION1,FIHFCHPH3,2024,0.3686879118351389
REGION1,FIHFCHPH3,2025,0.1872626289410209
REGION1,FIHFCHPH3,2026,0.01564539404192722
REGION1,FIHFCHPH3,2027,0.811809718162933
REGION1,FIHFCHPH3,2028,0.029300081827950426
REGION1,FIHFCHPH3,2029,0.9972658539932665
REGION1,FIHFCHPH3,2031,0.36578955286239534
REGION1,FIHFCHPH3,2032,0.9337337045919496
REGION1,FIHFCHPH3,2034,0.022754860419752304
REGION1,FIHFCHPH3,2047,0.780160652343633
REGION1,FIHFCHPH3,2048,1.1833010608108565
REGION1,FIHFCHPH3,2052,1.0293055843161727
REGION1,FIHFCHPH3,2053,0.1609859685106787
REGION1,FIHFCHPH3,2054,1.1319469120754444
REGION1,FIHFCHPH3,2055,0.028024339907260387
REGION1,FIHFCHPH3,2056,0.439003908071518
REGION1,FIHFCHPH3,2057,1.0166780705939142
REGION1,FIHFCHPH3,2058,0.08495018153561505
REGION1,FIHFCHPH3,2059,0.11419684003672705
REGION1,FIHFCHPH3,2060,0.0904647117845574
REGION1,FIHYDMPH3,2022,1.1611860755465733
REGION1,FIHYDMPH3,2028,0.17846741595497193
REGION1,FIHYDMPH3,2030,0.43007486943819007
REGION1,FIHYDMPH3,2032,0.11257494497260669
REGION1,FIHYDMPH3,2033,0.021559569086125663
REGION1,FIHYDMPH3,2034,0.17099501795751235
REGION1,FIHYDMPH3,2035,0.15438747248630413
REGION1,FIHYDMPH3,2036,0.07025749449725695
REGION1,FIHYDMPH3,2037,0.16981785242622602
REGION1,FIHYDMPH3,2038,0.035457494497257325
REGION1,FIHYDMPH3,2039,0.13855749449726715
REGION1,FIHYDMPH3,2040,0.16177785242622028
REGION1,FIHYDMPH3,2041,0.019776514251620175
REGION1,FIHYDMPH3,2042,0.11585748574837726
REGION1,FIHYDMPH3,2043,0.08603500000000275
REGION1,FIHYDMPH3,2044,0.015427999999996087
REGION1,FIHYDMPH3,2045,0.1310000000000053
REGION1,FIHYDMPH3,2046,0.038982103551861325
